transaction_id,gateway_fee,tax_on_fee
TXN000001,32.58,5.86
TXN000002,124.43,22.4
TXN000003,277.18,49.89
TXN000004,225.37,40.57
TXN000005,36.04,6.49
TXN000006,285.33,51.36
TXN000007,185.8,33.44
TXN000008,153.68,27.66
TXN000009,174.37,31.39
TXN000010,336.44,60.56
TXN000011,98.7,17.77
TXN000012,44.0,7.92
TXN000013,110.16,19.83
TXN000014,71.37,12.85
TXN000015,299.61,53.93
TXN000016,179.93,32.39
TXN000017,345.67,62.22
TXN000018,104.44,18.8
TXN000019,377.55,67.96
TXN000020,287.84,51.81
TXN000021,103.48,18.63
TXN000022,505.75,91.03
TXN000023,213.82,38.49
TXN000024,404.78,72.86
TXN000025,41.88,7.54
TXN000026,136.76,24.62
TXN000027,236.93,42.65
TXN000028,201.12,36.2
TXN000029,353.23,63.58
TXN000030,60.01,10.8
TXN000031,132.52,23.85
TXN000032,412.67,74.28
TXN000033,70.43,12.68
TXN000034,394.97,71.09
TXN000035,50.77,9.14
TXN000036,321.63,57.89
TXN000037,391.76,70.52
TXN000038,121.75,21.91
TXN000039,261.9,47.14
TXN000040,221.36,39.84
TXN000041,76.55,13.78
TXN000042,298.31,53.7
TXN000043,159.12,28.64
TXN000044,79.85,14.37
TXN000045,242.98,43.74
TXN000046,483.3,86.99
TXN000047,370.71,66.73
TXN000048,79.98,14.4
TXN000049,3.58,0.64
TXN000050,246.04,44.29
TXN000051,201.69,36.3
TXN000052,105.96,19.07
TXN000053,347.72,62.59
TXN000054,379.85,68.37
TXN000055,527.5,94.95
TXN000056,126.17,22.71
TXN000057,505.79,91.04
TXN000058,119.68,21.54
TXN000059,318.9,57.4
TXN000060,320.79,57.74
TXN000061,472.51,85.05
TXN000062,137.18,24.69
TXN000063,98.7,17.77
TXN000064,554.63,99.83
TXN000065,320.87,57.76
TXN000066,208.35,37.5
TXN000067,198.6,35.75
TXN000068,28.58,5.14
TXN000069,331.97,59.75
TXN000070,2.88,0.52
TXN000071,21.47,3.86
TXN000072,385.82,69.45
TXN000073,90.42,16.28
TXN000074,86.41,15.55
TXN000075,178.5,32.13
TXN000076,307.18,55.29
TXN000077,38.4,6.91
TXN000078,206.32,37.14
TXN000079,228.43,41.12
TXN000080,39.71,7.15
TXN000081,350.98,63.18
TXN000082,108.02,19.44
TXN000083,69.61,12.53
TXN000084,269.34,48.48
TXN000085,472.25,85.0
TXN000086,30.22,5.44
TXN000087,252.99,45.54
TXN000088,77.72,13.99
TXN000089,77.01,13.86
TXN000090,51.55,9.28
TXN000091,157.25,28.3
TXN000092,143.0,25.74
TXN000093,187.64,33.78
TXN000094,75.97,13.67
TXN000095,354.46,63.8
TXN000096,359.26,64.67
TXN000097,283.88,51.1
TXN000098,53.91,9.7
TXN000099,289.77,52.16
TXN000100,22.03,3.97
TXN000101,75.77,13.64
TXN000102,343.22,61.78
TXN000103,31.99,5.76
TXN000104,257.03,46.27
TXN000105,67.94,12.23
TXN000106,72.99,13.14
TXN000107,304.88,54.88
TXN000108,175.41,31.57
TXN000109,7.61,1.37
TXN000110,364.45,65.6
TXN000111,111.27,20.03
TXN000112,416.75,75.02
TXN000113,111.88,20.14
TXN000114,520.16,93.63
TXN000115,377.7,67.99
TXN000116,161.6,29.09
TXN000117,181.27,32.63
TXN000118,557.79,100.4
TXN000119,43.91,7.9
TXN000120,72.9,13.12
TXN000121,129.5,23.31
TXN000122,202.76,36.5
TXN000123,181.07,32.59
TXN000124,368.65,66.36
TXN000125,3.94,0.71
TXN000126,342.93,61.73
TXN000127,430.55,77.5
TXN000128,228.03,41.05
TXN000129,382.1,68.78
TXN000130,227.79,41.0
TXN000131,332.68,59.88
TXN000132,26.73,4.81
TXN000133,539.57,97.12
TXN000134,89.06,16.03
TXN000135,423.43,76.22
TXN000136,217.67,39.18
TXN000137,311.71,56.11
TXN000138,472.62,85.07
TXN000139,353.68,63.66
TXN000140,281.12,50.6
TXN000141,124.79,22.46
TXN000142,129.59,23.33
TXN000143,76.02,13.68
TXN000144,156.38,28.15
