refund_id,transaction_id,refund_amount,refund_status
REF000001,TXN000002,2526.04,SUCCESS
REF000002,TXN000020,4159.84,SUCCESS
REF000003,TXN000021,1883.08,SUCCESS
REF000004,TXN000052,1543.99,SUCCESS
REF000005,TXN000068,340.07,SUCCESS
REF000006,TXN000069,13524.05,SUCCESS
REF000007,TXN000081,4998.57,SUCCESS
REF000008,TXN000091,717.86,SUCCESS
REF000009,TXN000111,4886.2,SUCCESS
REF000010,TXN000118,8434.01,SUCCESS
REF000011,TXN000150,2731.95,SUCCESS
REF000012,TXN000156,1013.41,SUCCESS
REF000013,TXN000164,12374.53,SUCCESS
REF000014,TXN000181,2418.33,SUCCESS
REF000015,TXN000218,1964.59,SUCCESS
REF000016,TXN000219,15542.37,SUCCESS
REF000017,TXN000225,3050.32,SUCCESS
REF000018,TXN000229,13012.67,SUCCESS
REF000019,TXN000240,959.69,SUCCESS
REF000020,TXN000255,4919.04,SUCCESS
REF000021,TXN000266,3977.98,SUCCESS
REF000022,TXN000273,6963.47,SUCCESS
REF000023,TXN000276,5887.19,SUCCESS
REF000024,TXN000305,13486.88,SUCCESS
REF000025,TXN000338,1660.72,SUCCESS
REF000026,TXN000346,22187.54,SUCCESS
REF000027,TXN000390,9781.96,SUCCESS
REF000028,TXN000397,15121.04,SUCCESS
REF000029,TXN000405,8063.98,SUCCESS
REF000030,TXN000406,220.3,SUCCESS
REF000031,TXN000422,3184.15,SUCCESS
REF000032,TXN000437,88.43,SUCCESS
REF000033,TXN000462,5419.27,SUCCESS
REF000034,TXN000466,10204.2,SUCCESS
REF000035,TXN000475,4349.53,SUCCESS
REF000036,TXN000497,12281.12,SUCCESS
REF000037,TXN000499,5258.12,SUCCESS
REF000038,TXN000509,1838.22,SUCCESS
REF000039,TXN000520,4566.41,SUCCESS
REF000040,TXN000524,1592.46,SUCCESS
REF000041,TXN000549,3493.69,SUCCESS
REF000042,TXN000550,818.54,SUCCESS
REF000043,TXN000566,12039.2,SUCCESS
REF000044,TXN000579,3473.01,SUCCESS
REF000045,TXN000582,12269.11,SUCCESS
REF000046,TXN000585,6207.75,SUCCESS
REF000047,TXN000599,4258.06,SUCCESS
REF000048,TXN000608,1707.64,SUCCESS
REF000049,TXN000611,130.23,SUCCESS
REF000050,TXN000616,13064.84,SUCCESS
REF000051,TXN000625,2854.73,SUCCESS
REF000052,TXN000637,6266.39,SUCCESS
REF000053,TXN000647,7414.06,SUCCESS
REF000054,TXN000658,10911.17,SUCCESS
REF000055,TXN000660,2447.67,SUCCESS
REF000056,TXN000681,1229.42,SUCCESS
REF000057,TXN000682,2621.09,SUCCESS
REF000058,TXN000694,1587.84,SUCCESS
REF000059,TXN000700,465.98,SUCCESS
REF000060,TXN000708,20048.51,SUCCESS
REF000061,TXN000710,17671.45,SUCCESS
REF000062,TXN000724,3919.46,SUCCESS
REF000063,TXN000733,15242.27,SUCCESS
REF000064,TXN000738,6812.29,SUCCESS
REF000065,TXN000747,2705.39,SUCCESS
REF000066,TXN000762,6948.09,SUCCESS
REF000067,TXN000796,600.98,SUCCESS
REF000068,TXN000810,8845.83,SUCCESS
REF000069,TXN000842,14933.01,SUCCESS
REF000070,TXN000851,14958.05,SUCCESS
REF000071,TXN000872,1729.99,SUCCESS
REF000072,TXN000875,4625.9,SUCCESS
REF000073,TXN000879,3555.32,SUCCESS
REF000074,TXN000888,18294.11,SUCCESS
REF000075,TXN000901,5467.35,SUCCESS
REF000076,TXN000902,9642.28,SUCCESS
REF000077,TXN000941,2447.35,SUCCESS
REF000078,TXN000948,12343.32,SUCCESS
REF000079,TXN000954,559.47,SUCCESS
REF000080,TXN000959,1383.95,SUCCESS
REF000081,TXN000966,1291.98,SUCCESS
REF000082,TXN000970,9797.46,SUCCESS
REF000083,TXN000975,17234.4,SUCCESS
REF000084,TXN000985,1148.02,SUCCESS
REF000085,TXN001019,4895.76,SUCCESS
REF000086,TXN001022,6553.95,SUCCESS
REF000087,TXN001059,3283.69,SUCCESS
REF000088,TXN001063,16069.71,SUCCESS
REF000089,TXN001075,16434.92,SUCCESS
REF000090,TXN001088,12120.2,SUCCESS
REF000091,TXN001089,5826.48,SUCCESS
REF000092,TXN001098,1045.59,SUCCESS
REF000093,TXN001119,2783.5,SUCCESS
REF000094,TXN001131,4257.31,SUCCESS
REF000095,TXN001135,3983.01,SUCCESS
REF000096,TXN001146,10585.39,SUCCESS
REF000097,TXN001162,995.3,SUCCESS
REF000098,TXN001174,1787.01,SUCCESS
REF000099,TXN001204,3473.23,SUCCESS
REF000100,TXN001218,5969.35,SUCCESS
REF000101,TXN001235,6730.53,SUCCESS
REF000102,TXN001236,5060.99,SUCCESS
REF000103,TXN001240,5784.23,SUCCESS
REF000104,TXN001254,5045.93,SUCCESS
REF000105,TXN001276,6761.96,SUCCESS
REF000106,TXN001277,13240.13,SUCCESS
REF000107,TXN001354,2013.19,SUCCESS
REF000108,TXN001396,19269.39,SUCCESS
REF000109,TXN001431,9907.11,SUCCESS
REF000110,TXN001443,9398.47,SUCCESS
REF000111,TXN001449,6583.51,SUCCESS
REF000112,TXN001469,13775.15,SUCCESS
REF000113,TXN001480,14066.23,SUCCESS
REF000114,TXN001484,244.85,SUCCESS
REF000115,TXN001507,8981.99,SUCCESS
REF000116,TXN001513,7693.93,SUCCESS
REF000117,TXN001538,5222.54,SUCCESS
REF000118,TXN001547,16668.37,SUCCESS
REF000119,TXN001559,11162.97,SUCCESS
REF000120,TXN001560,2068.57,SUCCESS
REF000121,TXN001563,14695.9,SUCCESS
REF000122,TXN001569,1349.92,SUCCESS
REF000123,TXN001596,7520.57,SUCCESS
REF000124,TXN001601,520.58,SUCCESS
REF000125,TXN001622,7503.44,SUCCESS
REF000126,TXN001625,2804.89,SUCCESS
REF000127,TXN001658,8537.53,SUCCESS
REF000128,TXN001680,8331.36,SUCCESS
REF000129,TXN001687,5557.91,SUCCESS
REF000130,TXN001715,1152.81,SUCCESS
REF000131,TXN001736,984.52,SUCCESS
REF000132,TXN001768,9545.36,SUCCESS
REF000133,TXN001773,7873.36,SUCCESS
REF000134,TXN001787,1685.52,SUCCESS
REF000135,TXN001788,5452.53,SUCCESS
REF000136,TXN001798,7061.55,SUCCESS
REF000137,TXN001819,5233.86,SUCCESS
REF000138,TXN001825,1971.65,SUCCESS
REF000139,TXN001836,3037.25,SUCCESS
REF000140,TXN001839,920.66,SUCCESS
REF000141,TXN001842,9999.99,SUCCESS
REF000142,TXN001870,6363.15,SUCCESS
REF000143,TXN001871,4981.9,SUCCESS
REF000144,TXN001880,3554.98,SUCCESS
REF000145,TXN001890,10910.0,SUCCESS
REF000146,TXN001926,971.18,SUCCESS
REF000147,TXN001930,3601.83,SUCCESS
REF000148,TXN001940,16774.16,SUCCESS
REF000149,TXN001943,7770.23,SUCCESS
REF000150,TXN001947,13580.74,SUCCESS
REF000151,TXN001960,6551.95,SUCCESS
REF000152,TXN001970,10779.2,SUCCESS
