settlement_id,transaction_id,settled_amount,settlement_date
SET000001,TXN000001,2833.7,2026-08-26
SET000002,TXN000002,3524.94,2026-08-08
SET000003,TXN000003,16622.75,2026-08-19
SET000004,TXN000004,14537.32,2026-08-03
SET000005,TXN000005,2390.48,2026-08-09
SET000006,TXN000006,14753.58,2026-08-20
SET000007,TXN000007,17709.65,2026-08-25
SET000008,TXN000008,10364.7,2026-08-16
SET000009,TXN000009,6821.19,2026-08-04
SET000010,TXN000010,17086.67,2026-08-12
SET000011,TXN000011,3854.97,2026-08-26
SET000012,TXN000012,2593.12,2026-08-15
SET000013,TXN000013,8908.6,2026-08-14
SET000014,TXN000014,6602.35,2026-08-05
SET000015,TXN000015,13098.54,2026-08-16
SET000016,TXN000016,13633.49,2026-08-23
SET000017,TXN000017,21739.86,2026-08-15
SET000018,TXN000018,4764.75,2026-08-05
SET000019,TXN000019,16119.95,2026-08-27
SET000020,TXN000020,20132.53,2026-08-10
SET000021,TXN000021,7559.95,2026-08-16
SET000022,TXN000022,20272.57,2026-08-09
SET000023,TXN000023,8693.93,2026-08-25
SET000024,TXN000024,17097.69,2026-08-25
SET000025,TXN000025,1828.5,2026-08-22
SET000026,TXN000026,13238.7,2026-08-09
SET000027,TXN000027,11330.7,2026-08-10
SET000028,TXN000028,16997.91,2026-08-09
SET000029,TXN000029,20670.2,2026-08-27
SET000030,TXN000030,5732.49,2026-08-03
SET000031,TXN000031,9343.54,2026-08-04
SET000032,TXN000032,22350.14,2026-08-20
SET000033,TXN000033,5311.29,2026-08-19
SET000034,TXN000034,21662.55,2026-08-23
SET000035,TXN000035,3597.59,2026-08-06
SET000036,TXN000036,17977.79,2026-08-21
SET000037,TXN000037,18238.36,2026-08-16
SET000038,TXN000038,9901.41,2026-08-11
SET000039,TXN000039,12478.16,2026-08-05
SET000040,TXN000040,21031.85,2026-08-08
SET000041,TXN000041,3993.22,2026-08-25
SET000042,TXN000042,14598.57,2026-08-14
SET000043,TXN000043,14749.86,2026-08-16
SET000044,TXN000044,6265.99,2026-08-19
SET000045,TXN000046,21560.94,2026-08-27
SET000046,TXN000047,18800.67,2026-08-12
SET000047,TXN000048,7313.77,2026-08-07
SET000048,TXN000049,176.59,2026-08-27
SET000049,TXN000050,24009.68,2026-08-27
SET000050,TXN000051,12503.28,2026-08-06
SET000051,TXN000052,5862.26,2026-08-24
SET000052,TXN000053,14853.05,2026-08-07
SET000053,TXN000054,18638.3,2026-08-19
SET000054,TXN000055,22348.04,2026-08-21
SET000055,TXN000056,12117.4,2026-08-05
SET000056,TXN000057,21383.34,2026-08-27
SET000057,TXN000058,5921.14,2026-08-10
SET000058,TXN000059,23302.74,2026-08-05
SET000059,TXN000060,20040.45,2026-08-27
SET000060,TXN000061,18611.72,2026-08-08
SET000061,TXN000062,11772.66,2026-08-19
SET000062,TXN000063,6583.44,2026-08-21
SET000063,TXN000064,23458.18,2026-08-19
SET000064,TXN000065,17473.8,2026-08-14
SET000065,TXN000066,16036.11,2026-08-17
SET000066,TXN000067,11107.65,2026-08-09
SET000067,TXN000068,1320.45,2026-08-04
SET000068,TXN000069,0.0,2026-08-22
SET000069,TXN000070,275.65,2026-08-26
SET000070,TXN000071,1540.63,2026-08-05
SET000071,TXN000072,21049.65,2026-08-05
SET000072,TXN000073,5919.62,2026-08-23
SET000073,TXN000074,4712.47,2026-08-07
SET000074,TXN000075,14237.04,2026-08-09
SET000075,TXN000076,19844.21,2026-08-09
SET000076,TXN000077,2468.27,2026-08-16
SET000077,TXN000079,16597.23,2026-08-24
SET000078,TXN000080,1562.4,2026-08-25
SET000079,TXN000081,14622.02,2026-08-06
SET000080,TXN000082,4743.13,2026-08-19
SET000081,TXN000083,3508.4,2026-08-07
SET000082,TXN000084,11301.62,2026-08-04
SET000083,TXN000085,19662.5,2026-08-21
SET000084,TXN000086,0.0,2026-08-20
SET000085,TXN000087,23389.07,2026-08-27
SET000086,TXN000089,5331.44,2026-08-15
SET000087,TXN000090,4138.63,2026-08-04
SET000088,TXN000091,5800.15,2026-08-28
SET000089,TXN000092,7033.97,2026-08-24
SET000090,TXN000093,16359.18,2026-08-17
SET000091,TXN000094,4738.82,2026-08-10
SET000092,TXN000095,14103.33,2026-08-21
SET000093,TXN000096,18300.66,2026-08-03
SET000094,TXN000098,3956.46,2026-08-19
SET000095,TXN000099,20956.5,2026-08-04
SET000096,TXN000100,1766.23,2026-08-09
SET000097,TXN000101,2995.77,2026-08-20
SET000098,TXN000102,14110.08,2026-08-03
SET000099,TXN000103,2103.64,2026-08-23
SET000100,TXN000104,13870.85,2026-08-14
SET000101,TXN000105,5105.88,2026-08-26
SET000102,TXN000106,5957.15,2026-08-16
SET000103,TXN000107,16465.33,2026-08-13
SET000104,TXN000108,7765.83,2026-08-28
SET000105,TXN000109,322.97,2026-08-22
SET000106,TXN000110,24472.75,2026-08-04
SET000107,TXN000111,390.04,2026-08-11
SET000108,TXN000112,22846.39,2026-08-05
SET000109,TXN000113,8071.33,2026-08-09
SET000110,TXN000114,20246.46,2026-08-24
SET000111,TXN000115,14885.09,2026-08-29
SET000112,TXN000116,13079.93,2026-08-23
SET000113,TXN000117,7340.63,2026-08-24
SET000114,TXN000118,14387.16,2026-08-06
SET000115,TXN000119,2922.36,2026-08-06
SET000116,TXN000120,3884.63,2026-08-11
SET000117,TXN000121,5191.87,2026-08-13
SET000118,TXN000122,16979.42,2026-08-11
SET000119,TXN000123,12050.78,2026-08-04
SET000120,TXN000124,15458.67,2026-08-11
SET000121,TXN000125,183.64,2026-08-26
SET000122,TXN000126,15559.46,2026-08-11
SET000123,TXN000127,18048.6,2026-08-20
SET000124,TXN000128,13797.5,2026-08-06
SET000125,TXN000129,23180.89,2026-08-24
SET000126,TXN000130,13416.41,2026-08-15
SET000127,TXN000131,13465.31,2026-08-16
SET000128,TXN000132,1110.0,2026-08-14
SET000129,TXN000133,21846.53,2026-08-10
SET000130,TXN000134,6208.2,2026-08-05
SET000131,TXN000135,19025.24,2026-08-17
SET000132,TXN000136,18505.14,2026-08-10
SET000133,TXN000137,24039.71,2026-08-29
SET000134,TXN000138,21489.57,2026-08-03
SET000135,TXN000139,18023.12,2026-08-14
SET000136,TXN000140,18275.53,2026-08-25
SET000137,TXN000141,6596.21,2026-08-27
SET000138,TXN000142,9472.37,2026-08-05
SET000139,TXN000144,7514.72,2026-08-28
SET000140,TXN000145,5548.19,2026-08-25
SET000141,TXN000146,9781.48,2026-08-10
SET000142,TXN000147,23686.32,2026-08-11
SET000143,TXN000148,15740.33,2026-08-15
SET000144,TXN000149,23978.6,2026-08-21
SET000145,TXN000150,20181.9,2026-08-06
SET000146,TXN000151,4462.6,2026-08-10
SET000147,TXN000152,2723.97,2026-08-16
SET000148,TXN000153,17866.86,2026-08-12
SET000149,TXN000154,14978.32,2026-08-18
SET000150,TXN000155,9543.86,2026-08-22
SET000151,TXN000156,5349.48,2026-08-26
SET000152,TXN000157,138.51,2026-08-27
SET000153,TXN000158,16995.18,2026-08-25
SET000154,TXN000159,4923.18,2026-08-16
SET000155,TXN000160,23273.53,2026-08-12
SET000156,TXN000161,7719.06,2026-08-05
SET000157,TXN000162,12354.54,2026-08-24
SET000158,TXN000163,8014.65,2026-08-25
SET000159,TXN000164,1349.99,2026-08-09
SET000160,TXN000165,16186.85,2026-08-14
SET000161,TXN000166,18180.82,2026-08-09
SET000162,TXN000167,13883.29,2026-08-15
SET000163,TXN000168,20432.72,2026-08-11
SET000164,TXN000169,5239.94,2026-08-28
SET000165,TXN000170,14903.29,2026-08-13
SET000166,TXN000171,10920.99,2026-08-24
SET000167,TXN000172,12584.93,2026-08-29
SET000168,TXN000173,16298.4,2026-08-12
SET000169,TXN000174,16217.28,2026-08-21
SET000170,TXN000175,2380.39,2026-08-27
SET000171,TXN000176,16560.42,2026-08-10
SET000172,TXN000177,3683.84,2026-08-04
SET000173,TXN000178,23986.45,2026-08-22
SET000174,TXN000179,11184.64,2026-08-24
SET000175,TXN000180,4837.19,2026-08-26
SET000176,TXN000181,9652.85,2026-08-11
SET000177,TXN000182,16012.98,2026-08-02
SET000178,TXN000183,19073.23,2026-08-11
SET000179,TXN000184,19724.04,2026-08-26
SET000180,TXN000185,11358.83,2026-08-21
SET000181,TXN000186,22657.02,2026-08-07
SET000182,TXN000187,3319.5,2026-08-18
SET000183,TXN000188,13045.6,2026-08-21
SET000184,TXN000189,7850.29,2026-08-26
SET000185,TXN000190,14974.04,2026-08-26
