transaction_id,order_id,customer_id,amount,payment_date,payment_status
TXN000001,ORD000001,CUST00655,2872.14,2026-08-24,SUCCESS
TXN000002,ORD000002,CUST00282,6197.81,2026-08-05,SUCCESS
TXN000003,ORD000003,CUST00105,16949.82,2026-08-18,SUCCESS
TXN000004,ORD000004,CUST00090,14803.26,2026-08-02,SUCCESS
TXN000005,ORD000005,CUST00031,2433.01,2026-08-08,SUCCESS
TXN000006,ORD000006,CUST00518,15090.27,2026-08-18,SUCCESS
TXN000007,ORD000007,CUST00204,17928.89,2026-08-23,SUCCESS
TXN000008,ORD000008,CUST00559,10546.04,2026-08-15,SUCCESS
TXN000009,ORD000009,CUST00604,7026.95,2026-08-01,SUCCESS
TXN000010,ORD000010,CUST00164,17483.67,2026-08-11,SUCCESS
TXN000011,ORD000011,CUST00285,3971.44,2026-08-25,SUCCESS
TXN000012,ORD000012,CUST00345,2645.04,2026-08-13,SUCCESS
TXN000013,ORD000013,CUST00100,9038.59,2026-08-12,SUCCESS
TXN000014,ORD000014,CUST00619,6686.57,2026-08-02,SUCCESS
TXN000015,ORD000015,CUST00471,13452.08,2026-08-13,SUCCESS
TXN000016,ORD000016,CUST00081,13845.81,2026-08-21,SUCCESS
TXN000017,ORD000017,CUST00634,22147.75,2026-08-12,SUCCESS
TXN000018,ORD000018,CUST00592,4887.99,2026-08-03,SUCCESS
TXN000019,ORD000019,CUST00047,16565.46,2026-08-25,SUCCESS
TXN000020,ORD000020,CUST00297,24632.02,2026-08-08,SUCCESS
TXN000021,ORD000021,CUST00104,9565.14,2026-08-15,SUCCESS
TXN000022,ORD000022,CUST00651,20869.35,2026-08-06,SUCCESS
TXN000023,ORD000023,CUST00380,8946.24,2026-08-22,SUCCESS
TXN000024,ORD000024,CUST00274,17575.33,2026-08-22,SUCCESS
TXN000025,ORD000025,CUST00664,1877.92,2026-08-21,SUCCESS
TXN000026,ORD000026,CUST00176,13400.08,2026-08-08,SUCCESS
TXN000027,ORD000027,CUST00168,11610.28,2026-08-09,SUCCESS
TXN000028,ORD000028,CUST00656,17235.23,2026-08-08,SUCCESS
TXN000029,ORD000029,CUST00333,21087.01,2026-08-25,SUCCESS
TXN000030,ORD000030,CUST00058,5803.3,2026-08-02,SUCCESS
TXN000031,ORD000031,CUST00324,10089.0,2026-08-03,SUCCESS
TXN000032,ORD000032,CUST00217,22837.09,2026-08-19,SUCCESS
TXN000033,ORD000033,CUST00323,5394.4,2026-08-16,SUCCESS
TXN000034,ORD000034,CUST00406,22128.61,2026-08-21,SUCCESS
TXN000035,ORD000035,CUST00470,3657.5,2026-08-05,SUCCESS
TXN000036,ORD000036,CUST00253,18650.23,2026-08-18,SUCCESS
TXN000037,ORD000037,CUST00270,18700.64,2026-08-14,SUCCESS
TXN000038,ORD000038,CUST00598,10045.07,2026-08-08,SUCCESS
TXN000039,ORD000039,CUST00142,12787.2,2026-08-03,SUCCESS
TXN000040,ORD000040,CUST00049,21541.46,2026-08-05,SUCCESS
TXN000041,ORD000041,CUST00643,4083.55,2026-08-22,SUCCESS
TXN000042,ORD000042,CUST00433,14950.58,2026-08-13,SUCCESS
TXN000043,ORD000043,CUST00391,14937.62,2026-08-15,SUCCESS
TXN000044,ORD000044,CUST00542,6360.21,2026-08-18,SUCCESS
TXN000045,ORD000045,CUST00012,17039.06,2026-08-04,SUCCESS
TXN000046,ORD000046,CUST00699,22131.23,2026-08-25,SUCCESS
TXN000047,ORD000047,CUST00274,19238.11,2026-08-11,SUCCESS
TXN000048,ORD000048,CUST00115,7408.15,2026-08-06,SUCCESS
TXN000049,ORD000049,CUST00465,180.81,2026-08-24,SUCCESS
TXN000050,ORD000050,CUST00270,24300.01,2026-08-25,SUCCESS
TXN000051,ORD000051,CUST00183,12741.27,2026-08-04,SUCCESS
TXN000052,ORD000052,CUST00641,7531.28,2026-08-21,SUCCESS
TXN000053,ORD000053,CUST00520,15263.36,2026-08-05,SUCCESS
TXN000054,ORD000054,CUST00383,19086.52,2026-08-18,SUCCESS
TXN000055,ORD000055,CUST00544,22970.49,2026-08-20,SUCCESS
TXN000056,ORD000056,CUST00332,12266.28,2026-08-04,SUCCESS
TXN000057,ORD000057,CUST00372,21980.17,2026-08-26,SUCCESS
TXN000058,ORD000058,CUST00315,6062.36,2026-08-08,SUCCESS
TXN000059,ORD000059,CUST00581,23679.04,2026-08-03,SUCCESS
TXN000060,ORD000060,CUST00498,20418.98,2026-08-25,SUCCESS
TXN000061,ORD000061,CUST00546,19169.28,2026-08-05,SUCCESS
TXN000062,ORD000062,CUST00676,11934.53,2026-08-18,SUCCESS
TXN000063,ORD000063,CUST00170,6699.91,2026-08-20,SUCCESS
