transaction_id,order_id,customer_id,amount,payment_date,payment_status,gateway_fee,tax_on_fee,refund_amount,expected_settlement,settlement_id,settled_amount,settlement_date,difference,status,priority_score,priority,fee_percentage,refund_percentage,difference_percentage,settlement_available,ml_prediction,is_anomaly,anomaly_score,ml_risk,combined_risk_score,risk_level
TXN001741,ORD001741,CUST00394,23274.06,2026-08-13,SUCCESS,550.36,99.06,0.0,22624.64,,,,22624.64,MISSING_SETTLEMENT,23124.64,CRITICAL,2.3646927093940633,0.0,100.0,0,-1,1,99.81,CRITICAL,99.08,CRITICAL
TXN001595,ORD001595,CUST00085,23710.47,2026-08-06,SUCCESS,517.06,93.07,0.0,23100.34,,,,23100.34,MISSING_SETTLEMENT,23600.34,CRITICAL,2.180724380410848,0.0,100.0,0,-1,1,97.68,CRITICAL,98.61,CRITICAL
TXN001283,ORD001283,CUST00505,22056.09,2026-08-12,SUCCESS,321.11,57.8,0.0,21677.18,,,,21677.18,MISSING_SETTLEMENT,22177.18,CRITICAL,1.4558790792021614,0.0,100.0,0,-1,1,96.97,CRITICAL,95.77,CRITICAL
TXN001461,ORD001461,CUST00104,22629.01,2026-08-21,SUCCESS,261.99,47.16,0.0,22319.86,,,,22319.86,MISSING_SETTLEMENT,22819.86,CRITICAL,1.1577616519679828,0.0,100.0,0,-1,1,94.97,CRITICAL,95.66,CRITICAL
TXN000784,ORD000784,CUST00428,22067.9,2026-08-06,SUCCESS,537.0,96.66,0.0,21434.24,,,,21434.24,MISSING_SETTLEMENT,21934.24,CRITICAL,2.4333987375327966,0.0,100.0,0,-1,1,96.68,CRITICAL,95.18,CRITICAL
TXN000360,ORD000360,CUST00691,21497.62,2026-08-13,SUCCESS,370.24,66.64,0.0,21060.74,,,,21060.74,MISSING_SETTLEMENT,21560.74,CRITICAL,1.7222371592762364,0.0,100.0,0,-1,1,96.6,CRITICAL,94.5,CRITICAL
TXN001896,ORD001896,CUST00054,21605.08,2026-08-07,SUCCESS,301.53,54.28,0.0,21249.27,,,,21249.27,MISSING_SETTLEMENT,21749.27,CRITICAL,1.395643987432585,0.0,100.0,0,-1,1,95.94,CRITICAL,94.43,CRITICAL
TXN001694,ORD001694,CUST00678,20550.45,2026-08-03,SUCCESS,283.13,50.96,0.0,20216.36,,,,20216.36,MISSING_SETTLEMENT,20716.36,CRITICAL,1.3777313878771509,0.0,100.0,0,-1,1,94.58,CRITICAL,91.86,CRITICAL
TXN000867,ORD000867,CUST00148,20163.83,2026-08-02,SUCCESS,403.47,72.62,0.0,19687.74,,,,19687.74,MISSING_SETTLEMENT,20187.74,CRITICAL,2.000959143178652,0.0,100.0,0,-1,1,94.33,CRITICAL,90.81,CRITICAL
TXN001173,ORD001173,CUST00290,19360.83,2026-08-10,SUCCESS,276.45,49.76,0.0,19034.62,,,,19034.62,MISSING_SETTLEMENT,19534.62,CRITICAL,1.4278829988177157,0.0,100.0,0,-1,1,92.63,CRITICAL,88.69,CRITICAL
TXN001943,ORD001943,CUST00222,24018.61,2026-08-04,SUCCESS,382.2,68.8,7770.23,15797.38,,,,15797.38,MISSING_SETTLEMENT,16297.38,CRITICAL,1.5912661057405069,32.3508729272843,100.0,0,-1,1,100.0,CRITICAL,87.62,CRITICAL
TXN001426,ORD001426,CUST00232,17368.77,2026-08-12,SUCCESS,327.24,58.9,0.0,16982.63,,,,16982.63,MISSING_SETTLEMENT,17482.63,CRITICAL,1.8840712382051232,0.0,100.0,0,-1,1,89.56,CRITICAL,83.37,CRITICAL
TXN000045,ORD000045,CUST00012,17039.06,2026-08-04,SUCCESS,242.98,43.74,0.0,16752.34,,,,16752.34,MISSING_SETTLEMENT,17252.34,CRITICAL,1.4260176324280798,0.0,100.0,0,-1,1,88.84,CRITICAL,82.54,CRITICAL
TXN001600,ORD001600,CUST00446,16199.37,2026-08-03,SUCCESS,404.07,72.73,0.0,15722.57,,,,15722.57,MISSING_SETTLEMENT,16222.57,CRITICAL,2.4943562620027815,0.0,100.0,0,-1,1,90.01,CRITICAL,81.5,CRITICAL
