transaction_id,order_id,customer_id,amount,expected_settlement,settled_amount,difference,status,priority,anomaly_score,ml_risk,combined_risk_score,risk_level
TXN000001,ORD000001,CUST00655,2872.14,2833.7,2833.7,0.0,MATCHED,LOW,15.63,LOW,9.38,LOW
TXN000002,ORD000002,CUST00282,6197.81,3524.94,3524.94,0.0,MATCHED,LOW,35.18,MEDIUM,21.11,LOW
TXN000003,ORD000003,CUST00105,16949.82,16622.75,16622.75,0.0,MATCHED,LOW,4.23,LOW,2.54,LOW
TXN000004,ORD000004,CUST00090,14803.26,14537.32,14537.32,0.0,MATCHED,LOW,3.27,LOW,1.96,LOW
TXN000005,ORD000005,CUST00031,2433.01,2390.48,2390.48,0.0,MATCHED,LOW,12.07,LOW,7.24,LOW
TXN000006,ORD000006,CUST00518,15090.27,14753.58,14753.58,0.0,MATCHED,LOW,3.73,LOW,2.24,LOW
TXN000007,ORD000007,CUST00204,17928.89,17709.65,17709.65,0.0,MATCHED,LOW,13.2,LOW,7.92,LOW
TXN000008,ORD000008,CUST00559,10546.04,10364.7,10364.7,0.0,MATCHED,LOW,2.18,LOW,1.31,LOW
TXN000009,ORD000009,CUST00604,7026.95,6821.19,6821.19,0.0,MATCHED,LOW,12.8,LOW,7.68,LOW
TXN000010,ORD000010,CUST00164,17483.67,17086.67,17086.67,0.0,MATCHED,LOW,6.09,LOW,3.65,LOW
TXN000011,ORD000011,CUST00285,3971.44,3854.97,3854.97,0.0,MATCHED,LOW,16.32,LOW,9.79,LOW
TXN000012,ORD000012,CUST00345,2645.04,2593.12,2593.12,0.0,MATCHED,LOW,10.09,LOW,6.05,LOW
TXN000013,ORD000013,CUST00100,9038.59,8908.6,8908.6,0.0,MATCHED,LOW,7.14,LOW,4.28,LOW
TXN000014,ORD000014,CUST00619,6686.57,6602.35,6602.35,0.0,MATCHED,LOW,9.79,LOW,5.87,LOW
TXN000015,ORD000015,CUST00471,13452.08,13098.54,13098.54,0.0,MATCHED,LOW,6.96,LOW,4.18,LOW
TXN000016,ORD000016,CUST00081,13845.81,13633.49,13633.49,0.0,MATCHED,LOW,5.34,LOW,3.2,LOW
TXN000017,ORD000017,CUST00634,22147.75,21739.86,21739.86,0.0,MATCHED,LOW,11.84,LOW,7.1,LOW
TXN000018,ORD000018,CUST00592,4887.99,4764.75,4764.75,0.0,MATCHED,LOW,8.59,LOW,5.15,LOW
TXN000019,ORD000019,CUST00047,16565.46,16119.95,16119.95,0.0,MATCHED,LOW,11.89,LOW,7.13,LOW
TXN000020,ORD000020,CUST00297,24632.02,20132.53,20132.53,0.0,MATCHED,LOW,44.02,MEDIUM,26.41,LOW
TXN000021,ORD000021,CUST00104,9565.14,7559.95,7559.95,0.0,MATCHED,LOW,30.66,LOW,18.4,LOW
TXN000022,ORD000022,CUST00651,20869.35,20272.57,20272.57,0.0,MATCHED,LOW,25.05,LOW,15.03,LOW
TXN000023,ORD000023,CUST00380,8946.24,8693.93,8693.93,0.0,MATCHED,LOW,9.8,LOW,5.88,LOW
TXN000024,ORD000024,CUST00274,17575.33,17097.69,17097.69,0.0,MATCHED,LOW,12.74,LOW,7.64,LOW
TXN000025,ORD000025,CUST00664,1877.92,1828.5,1828.5,0.0,MATCHED,LOW,15.62,LOW,9.37,LOW
TXN000026,ORD000026,CUST00176,13400.08,13238.7,13238.7,0.0,MATCHED,LOW,10.21,LOW,6.13,LOW
TXN000027,ORD000027,CUST00168,11610.28,11330.7,11330.7,0.0,MATCHED,LOW,1.6,LOW,0.96,LOW
TXN000028,ORD000028,CUST00656,17235.23,16997.91,16997.91,0.0,MATCHED,LOW,8.62,LOW,5.17,LOW
