transaction_id,order_id,customer_id,amount,payment_date,payment_status,gateway_fee,tax_on_fee,refund_amount,expected_settlement,settlement_id,settled_amount,settlement_date,difference,status,priority_score,priority
TXN001595,ORD001595,CUST00085,23710.47,2026-08-06,SUCCESS,517.06,93.07,0.0,23100.34,,,,23100.34,MISSING_SETTLEMENT,23600.34,CRITICAL
TXN001741,ORD001741,CUST00394,23274.06,2026-08-13,SUCCESS,550.36,99.06,0.0,22624.64,,,,22624.64,MISSING_SETTLEMENT,23124.64,CRITICAL
TXN001461,ORD001461,CUST00104,22629.01,2026-08-21,SUCCESS,261.99,47.16,0.0,22319.86,,,,22319.86,MISSING_SETTLEMENT,22819.86,CRITICAL
TXN001283,ORD001283,CUST00505,22056.09,2026-08-12,SUCCESS,321.11,57.8,0.0,21677.18,,,,21677.18,MISSING_SETTLEMENT,22177.18,CRITICAL
TXN000784,ORD000784,CUST00428,22067.9,2026-08-06,SUCCESS,537.0,96.66,0.0,21434.24,,,,21434.24,MISSING_SETTLEMENT,21934.24,CRITICAL
TXN001896,ORD001896,CUST00054,21605.08,2026-08-07,SUCCESS,301.53,54.28,0.0,21249.27,,,,21249.27,MISSING_SETTLEMENT,21749.27,CRITICAL
TXN000360,ORD000360,CUST00691,21497.62,2026-08-13,SUCCESS,370.24,66.64,0.0,21060.74,,,,21060.74,MISSING_SETTLEMENT,21560.74,CRITICAL
TXN001694,ORD001694,CUST00678,20550.45,2026-08-03,SUCCESS,283.13,50.96,0.0,20216.36,,,,20216.36,MISSING_SETTLEMENT,20716.36,CRITICAL
TXN000867,ORD000867,CUST00148,20163.83,2026-08-02,SUCCESS,403.47,72.62,0.0,19687.74,,,,19687.74,MISSING_SETTLEMENT,20187.74,CRITICAL
TXN001173,ORD001173,CUST00290,19360.83,2026-08-10,SUCCESS,276.45,49.76,0.0,19034.62,,,,19034.62,MISSING_SETTLEMENT,19534.62,CRITICAL
TXN001426,ORD001426,CUST00232,17368.77,2026-08-12,SUCCESS,327.24,58.9,0.0,16982.63,,,,16982.63,MISSING_SETTLEMENT,17482.63,CRITICAL
TXN000045,ORD000045,CUST00012,17039.06,2026-08-04,SUCCESS,242.98,43.74,0.0,16752.34,,,,16752.34,MISSING_SETTLEMENT,17252.34,CRITICAL
TXN001943,ORD001943,CUST00222,24018.61,2026-08-04,SUCCESS,382.2,68.8,7770.23,15797.38,,,,15797.38,MISSING_SETTLEMENT,16297.38,CRITICAL
TXN001600,ORD001600,CUST00446,16199.37,2026-08-03,SUCCESS,404.07,72.73,0.0,15722.57,,,,15722.57,MISSING_SETTLEMENT,16222.57,CRITICAL
TXN000306,ORD000306,CUST00331,15132.47,2026-08-01,SUCCESS,176.13,31.7,0.0,14924.64,,,,14924.64,MISSING_SETTLEMENT,15424.64,CRITICAL
TXN001261,ORD001261,CUST00406,14691.81,2026-08-11,SUCCESS,165.89,29.86,0.0,14496.06,,,,14496.06,MISSING_SETTLEMENT,14996.06,CRITICAL
TXN001332,ORD001332,CUST00639,14730.64,2026-08-26,SUCCESS,340.08,61.21,0.0,14329.35,,,,14329.35,MISSING_SETTLEMENT,14829.35,CRITICAL
TXN000097,ORD000097,CUST00052,14646.02,2026-08-17,SUCCESS,283.88,51.1,0.0,14311.04,,,,14311.04,MISSING_SETTLEMENT,14811.04,CRITICAL
TXN001672,ORD001672,CUST00270,14507.92,2026-08-19,SUCCESS,354.82,63.87,0.0,14089.23,,,,14089.23,MISSING_SETTLEMENT,14589.23,CRITICAL
TXN001380,ORD001380,CUST00384,14080.28,2026-08-20,SUCCESS,157.4,28.33,0.0,13894.55,,,,13894.55,MISSING_SETTLEMENT,14394.55,CRITICAL
TXN000703,ORD000703,CUST00528,14085.12,2026-08-11,SUCCESS,165.36,29.76,0.0,13890.0,,,,13890.0,MISSING_SETTLEMENT,14390.0,CRITICAL
