transaction_id,order_id,customer_id,amount,payment_date,payment_status,gateway_fee,tax_on_fee,refund_amount,settled_amount,settlement_id,expected_settlement,difference,status
TXN000001,ORD000001,CUST00655,2872.14,2026-08-24,SUCCESS,32.58,5.86,0.0,2833.7,SET000001,2833.7,0.0,MATCHED
TXN000002,ORD000002,CUST00282,6197.81,2026-08-05,SUCCESS,124.43,22.4,2526.04,3524.94,SET000002,3524.94,0.0,MATCHED
TXN000003,ORD000003,CUST00105,16949.82,2026-08-18,SUCCESS,277.18,49.89,0.0,16622.75,SET000003,16622.75,0.0,MATCHED
TXN000004,ORD000004,CUST00090,14803.26,2026-08-02,SUCCESS,225.37,40.57,0.0,14537.32,SET000004,14537.32,0.0,MATCHED
TXN000005,ORD000005,CUST00031,2433.01,2026-08-08,SUCCESS,36.04,6.49,0.0,2390.48,SET000005,2390.48,0.0,MATCHED
TXN000006,ORD000006,CUST00518,15090.27,2026-08-18,SUCCESS,285.33,51.36,0.0,14753.58,SET000006,14753.58,0.0,MATCHED
TXN000007,ORD000007,CUST00204,17928.89,2026-08-23,SUCCESS,185.8,33.44,0.0,17709.65,SET000007,17709.65,0.0,MATCHED
TXN000008,ORD000008,CUST00559,10546.04,2026-08-15,SUCCESS,153.68,27.66,0.0,10364.7,SET000008,10364.7,0.0,MATCHED
TXN000009,ORD000009,CUST00604,7026.95,2026-08-01,SUCCESS,174.37,31.39,0.0,6821.19,SET000009,6821.19,0.0,MATCHED
TXN000010,ORD000010,CUST00164,17483.67,2026-08-11,SUCCESS,336.44,60.56,0.0,17086.67,SET000010,17086.67,0.0,MATCHED
TXN000011,ORD000011,CUST00285,3971.44,2026-08-25,SUCCESS,98.7,17.77,0.0,3854.97,SET000011,3854.97,0.0,MATCHED
TXN000012,ORD000012,CUST00345,2645.04,2026-08-13,SUCCESS,44.0,7.92,0.0,2593.12,SET000012,2593.12,0.0,MATCHED
TXN000013,ORD000013,CUST00100,9038.59,2026-08-12,SUCCESS,110.16,19.83,0.0,8908.6,SET000013,8908.6,0.0,MATCHED
TXN000014,ORD000014,CUST00619,6686.57,2026-08-02,SUCCESS,71.37,12.85,0.0,6602.35,SET000014,6602.35,0.0,MATCHED
TXN000015,ORD000015,CUST00471,13452.08,2026-08-13,SUCCESS,299.61,53.93,0.0,13098.54,SET000015,13098.54,0.0,MATCHED
TXN000016,ORD000016,CUST00081,13845.81,2026-08-21,SUCCESS,179.93,32.39,0.0,13633.49,SET000016,13633.49,0.0,MATCHED
TXN000017,ORD000017,CUST00634,22147.75,2026-08-12,SUCCESS,345.67,62.22,0.0,21739.86,SET000017,21739.86,0.0,MATCHED
TXN000018,ORD000018,CUST00592,4887.99,2026-08-03,SUCCESS,104.44,18.8,0.0,4764.75,SET000018,4764.75,0.0,MATCHED
TXN000019,ORD000019,CUST00047,16565.46,2026-08-25,SUCCESS,377.55,67.96,0.0,16119.95,SET000019,16119.95,0.0,MATCHED
TXN000020,ORD000020,CUST00297,24632.02,2026-08-08,SUCCESS,287.84,51.81,4159.84,20132.53,SET000020,20132.53,0.0,MATCHED
TXN000021,ORD000021,CUST00104,9565.14,2026-08-15,SUCCESS,103.48,18.63,1883.08,7559.95,SET000021,7559.95,0.0,MATCHED
TXN000022,ORD000022,CUST00651,20869.35,2026-08-06,SUCCESS,505.75,91.03,0.0,20272.57,SET000022,20272.57,0.0,MATCHED
TXN000023,ORD000023,CUST00380,8946.24,2026-08-22,SUCCESS,213.82,38.49,0.0,8693.93,SET000023,8693.93,0.0,MATCHED
TXN000024,ORD000024,CUST00274,17575.33,2026-08-22,SUCCESS,404.78,72.86,0.0,17097.69,SET000024,17097.69,0.0,MATCHED
TXN000025,ORD000025,CUST00664,1877.92,2026-08-21,SUCCESS,41.88,7.54,0.0,1828.5,SET000025,1828.5,0.0,MATCHED
TXN000026,ORD000026,CUST00176,13400.08,2026-08-08,SUCCESS,136.76,24.62,0.0,13238.7,SET000026,13238.7,0.0,MATCHED
